date,dungeon,result,time,mana,crystal,energy,drop,grade,sell_value,set,efficiency,slot,rarity,main_stat,prefix_stat,sub1,sub2,sub3,sub4,team1,team2,team3,team4,team5
2019-07-06 18:45,"Dragon's Lair B10",Win,2:37,4321,0,0,Rainbowmon 2,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 18:49,"Dragon's Lair B10",Win,2:55,4370,0,2,Rune,6*,20288,Violent,46.79,5,Rare,HP +360,,ATK +11,Accuracy 8%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 18:52,"Dragon's Lair B10",Win,2:52,5071,0,2,Rune,5*,11095,Endure,42.12,1,Hero,ATK +15,,Accuracy 4%,CRI Dmg 3%,HP 6%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 18:56,"Dragon's Lair B10",Win,2:44,4498,0,2,Rune,5*,11560,Violent,37.39,6,Rare,Resistance 9%,,Accuracy 6%,SPD +3,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 19:03,"Dragon's Lair B10",Win,3:01,4784,0,0,Rune,5*,9343,Guard,41.53,5,Rare,HP +270,DEF +11,DEF 4%,SPD +3,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 19:09,"Dragon's Lair B10",Win,2:51,4710,0,4,Rune,6*,17251,Guard,54.39,5,Rare,HP +360,CRI Dmg 5%,DEF +18,SPD +6,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 19:17,"Dragon's Lair B10",Win,2:49,5025,1,2,Symbol of Transcendence x10,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 19:20,"Dragon's Lair B10",Win,2:52,4349,0,0,Rune,6*,23085,Shield,49.64,6,Hero,ATK 11%,,HP +159,Resistance 5%,ATK +18,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 19:33,"Dragon's Lair B10",Win,3:03,4689,0,1,Rune,5*,9927,Focus,40.14,6,Rare,HP 8%,Resistance 3%,DEF 5%,CRI Dmg 4%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 09:15,"Dragon's Lair B10",Win,2:27,4428,0,0,Rune,6*,24443,Shield,50.57,4,Hero,ATK 11%,,DEF 6%,HP +255,ATK +13,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 09:18,"Dragon's Lair B10",Win,2:53,4476,0,2,Rune,5*,9927,Endure,42.09,6,Rare,HP +270,ATK +9,CRI Dmg 3%,DEF 6%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 09:21,"Dragon's Lair B10",Win,2:44,4816,0,0,Symbol of Harmony x5,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 09:36,"Dragon's Lair B10",Win,3:03,4232,1,1,Rune,5*,13863,Shield,43.92,1,Rare,ATK +15,HP +224,HP 4%,SPD +5,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 09:39,"Dragon's Lair B10",Win,2:31,4646,0,1,Summoning Stones x3,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 09:42,"Dragon's Lair B10",Win,2:55,4643,0,1,Rune,5*,9576,Shield,38.98,3,Rare,DEF +15,,CRI Rate 4%,CRI Dmg 4%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 09:45,"Dragon's Lair B10",Win,2:41,4153,0,0,Rune Piece x10,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 09:48,"Dragon's Lair B10",Win,2:41,4366,0,1,Rune,5*,7941,Focus,37.09,6,Rare,HP +270,,CRI Dmg 3%,ATK 4%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 09:52,"Dragon's Lair B10",Win,3:19,4381,1,0,Rune,5*,8759,Endure,44.06,3,Hero,DEF +15,,HP +229,DEF 5%,CRI Dmg 5%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 09:55,"Dragon's Lair B10",Win,2:49,3993,0,0,Rune,5*,8876,Endure,36.77,1,Rare,ATK +15,,SPD +3,CRI Dmg 3%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 09:58,"Dragon's Lair B10",Win,2:40,4615,0,3,Rune,5*,11095,Endure,45.61,1,Rare,ATK +15,HP 6%,Accuracy 6%,CRI Rate 4%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 10:01,"Dragon's Lair B10",Win,2:47,4244,0,1,Rune,5*,13954,Revenge,50.58,6,Hero,DEF +15,CRI Rate 4%,ATK 6%,CRI Dmg 4%,HP 7%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
